timestamp,WT004_ACTIVE_POWER,WT004_AMBIENT_TEMP,WT004_HYDRAULIC_OIL_TEMP,WT004_PHASE_CURRENT_A,WT004_PHASE_CURRENT_B,WT004_PHASE_CURRENT_C,WT004_PHASE_VOLTAGE_A,WT004_PHASE_VOLTAGE_B,WT004_PHASE_VOLTAGE_C,WT004_REACTIVE_POWER,WT004_TURBINE_STATUS,WT004_WIND_DIRECTION,WT004_WIND_SPEED
1487044837000,-2.1,7,25,4,2,1,409,410,409,-0.8,20,-1,2.4
1487045435000,-2,7,25,4,2,1,409,410,411,-0.8,20,-1,2.3
1487046036000,-2,7,25,4,2,1,408,411,410,-0.8,20,-1,2.1
1487046634000,-2,7,25,4,2,1,409,411,410,-0.7,20,-1,2.5
1487047236000,-4,7,24,4,3,2,409,411,411,-0.8,20,-1,2.6
1487047831000,-2.6,7,24,4,2,1,408,411,410,-1.3,20,-1,2.8
1487048432000,-2.5,7,24,4,2,1,409,411,411,-1.2,20,-1,4.4
1487049031000,-2.5,7,24,4,2,1,409,411,411,-1.2,20,-1,3.9
1487049635000,-2.6,7,24,4,2,1,409,410,410,-1.2,20,-1,3.1
1487050235000,-1.9,6,24,4,2,1,409,410,411,-0.1,20,-1,3.6
1487050840000,-2,6,24,4,2,0,408,412,411,-0.1,20,-1,4.3
1487051440000,-2,6,24,4,2,0,408,409,408,-0.2,20,-1,3.7
1487052038000,-2,6,24,4,2,0,408,408,410,-0.1,20,-1,5.3
1487052637000,-1.9,6,24,4,2,0,407,410,410,-0.2,20,-1,4.3
1487053239000,-2,6,24,4,2,1,409,409,409,-0.1,20,-1,5.4
1487053838000,-1.9,6,24,4,2,1,408,409,409,-0.1,20,-1,4.6
1487054432000,-3.1,6,24,4,3,2,407,409,409,-0.1,20,-1,4.7
1487055033000,47.4,6,24,46,46,44,409,408,408,9.7,0,-1,6.6
1487055634000,129.3,6,24,106,104,100,407,407,408,6.1,0,-1,6.2
1487056233000,76.9,6,24,60,54,53,408,407,408,-5.3,0,-1,5.1
1487056835000,136.4,6,24,115,110,107,408,408,409,5.3,0,-1,6.3
1487057433000,243,6,24,218,211,207,407,408,408,-2.3,0,-1,6.4
1487058043000,189.9,6,24,180,173,170,408,408,409,0.6,0,-1,7
1487058634000,260.4,6,24,217,209,205,408,408,409,-1.4,0,-1,7.2
1487059245000,341.5,6,24,289,276,273,409,407,409,-15.5,0,-1,7.3
1487059837000,524.6,6,24,429,413,407,408,407,409,-41.4,0,-1,7.2
1487060434000,611.9,6,24,493,477,469,410,409,410,8.4,0,-1,9.1
1487061033000,688.5,6,24,560,542,537,411,410,410,-7.4,0,-1,8.8
1487061636000,701,5,24,573,552,545,410,409,410,-8.9,0,-1,8.6
1487062237000,721.5,5,24,606,582,575,411,409,409,-13.4,0,-1,8
1487062839000,708.6,4,24,594,567,562,410,407,411,-12.6,0,-1,7.4
1487063438000,1127.2,4,24,953,918,906,406,402,405,-53.1,0,-1,10
1487064036000,1323.6,4,23,1122,1077,1066,405,400,405,-47.1,0,-1,11.3
1487064637000,1816,4,23,1584,1535,1519,397,392,396,-223.2,0,-1,13.9
1487065238000,1795.7,4,25,1412,1358,1343,402,397,403,-189.1,0,-1,11.5
1487065837000,1612.8,4,26,1499,1454,1434,404,401,404,-66.4,0,-1,8.8
1487066433000,1079.4,4,27,1021,983,966,413,409,411,100.8,0,-1,7.6
1487067035000,960.1,3,26,811,773,759,409,405,407,-5.9,0,-1,9.9
1487067637000,1015.9,3,26,770,737,725,410,407,409,-34,0,-1,11.4
1487068237000,982.2,3,26,796,767,757,411,409,411,-67.5,0,-1,9.7
1487068836000,806,3,25,723,694,684,410,409,411,20.4,0,-1,8.7
1487069432000,348,3,25,396,368,358,409,408,410,-3,0,-1,7.3
1487070034000,812.8,2,25,541,512,501,409,406,407,-37.5,0,-1,8.4
1487070635000,790.4,2,24,658,623,613,407,404,406,-36.6,0,-1,8
1487071834000,817.5,2,24,677,640,632,409,405,408,-38.4,0,-1,8
1487072433000,577.5,2,24,508,479,469,411,408,410,4,0,-1,7
1487073035000,771.2,2,24,535,503,497,408,405,408,3.2,0,-1,8.9
1487073634000,598.4,2,23,556,526,513,408,407,408,1.3,0,-1,7.4
1487074235000,712.5,2,23,550,519,507,409,406,407,-15,0,-1,9.5
1487074843000,691.9,2,23,608,579,567,410,409,410,50,0,-1,8.4
1487075434000,404.6,2,23,424,398,391,411,409,410,30.5,0,-1,6.9
1487076037000,374.7,2,23,344,318,309,412,409,412,34.7,0,-1,5.5
1487076639000,515.9,2,23,493,462,457,410,408,410,14.7,0,-1,6.3
1487077238000,621.3,1,23,558,528,525,411,407,411,-5.9,0,-1,7.4
1487077837000,336.6,2,23,400,373,365,410,410,411,16.1,0,-1,4.6
1487078437000,475.5,2,23,610,582,577,411,408,409,20.7,0,-1,8.3
1487079037000,521.5,1,23,460,433,424,410,409,410,13.7,0,-1,8.3
1487079634000,436.5,1,23,413,386,380,412,409,410,22,0,-1,8.1
1487080234000,575.7,1,22,513,485,480,411,407,410,13.7,0,-1,8.5
1487080834000,611,1,22,506,481,474,411,410,411,1.3,0,-1,9.4
1487081434000,491.5,1,22,414,389,388,411,409,411,21.7,0,-1,9.2
1487082037000,598.8,2,22,536,513,509,409,409,410,3.8,0,-1,9.6
1487082635000,499.3,2,22,345,323,317,412,410,410,15,0,-1,8.1
1487083236000,299.2,2,22,260,240,232,411,409,411,42.4,0,-1,6.9
1487083837000,441.3,2,22,298,278,272,411,409,411,38.4,0,-1,7.5
1487084434000,510.1,3,22,446,424,419,410,408,410,9.5,0,-1,7.8
1487085035000,547.6,3,22,499,479,474,409,409,410,29.4,0,-1,6.5
